contract_name,contract_status,contract_type,contract_start_date,contract_end_date,contract_renewal_date,contract_description,amount,quickbooks_customer_id,quickbooks_business_unit_id,external_id,deal_id,engagement_type,payment_type,monthly_points_allotment,priority,customer_display_type,hosting,account_manager,team_manager,clickup_folder_id,slack_channel_internal,slack_channel_external,dollar_per_hour,autorenewal,initial_term_length,subsequent_term_length,notice_period,next_invoice_date
Interfaith Housing - Hosting,active,recurring,2021-07-01,,,Website hosting plan,50,1454,193514801304854,MID202510028,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Just Win Consulting - Hosting,active,recurring,2025-01-31,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1QnVDHEIu4BG5ePBfQP9D19k,200,2078,193514801304854,MID202510008,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Logistics Lighting - Hosting,inactive,recurring,2024-02-15,,,Website Care Plan: Hosting & Updates,200,303,193514801304854,MID202510015,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
RD Law Firm - Hosting,active,recurring,2024-02-14,,,Website Care Plan: Hosting & Updates,200,1983,193514801304854,MID202510001,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Reliant Drywall - Hosting,active,recurring,2024-02-26,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1Oo69IEIu4BG5ePBXfXuRqkd,200,191,193514801304854,MID202510010,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Ripaus - Hosting,active,recurring,2024-03-07,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1Orn6iEIu4BG5ePBfqa0ih8X,200,2148,193514801304854,MID202510003,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Signature Space - Hosting,active,recurring,2021-05-01,,,Website hosting plan,50,1521,193514801304854,MID202510027,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Teletrust - Hosting,canceled,recurring,2022-04-01,,,Website hosting plan,50,1455,193514801304854,MID202510023,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
The Manor - Hosting,active,recurring,2021-10-01,,,Website hosting plan,50,1623,193514801304854,MID202510025,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2026-10-01
True Standard Distilling - Hosting,active,recurring,2024-06-25,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1PVa6LEIu4BG5ePBPMM2d95V,200,1998,193514801304854,MID202510011,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
White House Nannies - Hosting,active,recurring,2024-03-01,,,Advanced Hosting Package https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1Opf95EIu4BG5ePBbcp7fUDI,145,158,193514801304854,MID202510006,XXXXXXXXXXX,tactical,credit_card,1.45,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Zive - Creative; digital; website,inactive,recurring,2025-07-22,,,Creative; digital; website,6125,16,9341454074930384,MID20257774,XXXXXXXXXXX,tactical,invoice,61.25,Tier 1,hours,false,89321438,89158970,90172248213,,,175,false,93,0,-30,2025-10-22
TrueNAS - Campaign retainer,canceled,recurring,2025-04-09,,,Campaign management,5250,45,9341454074930384,MID20253841,29946860205,tactical,invoice,52.5,Tier 1,points,false,89302316,89305543,90172342794,,,,false,90,0,-14,
TrueNAS - Creative; digital; website,canceled,recurring,2025-02-03,,,Creative; digital; website,6125,45,9341454074930384,MID20253027,XXXXXXXXXXX,tactical,invoice,61.25,Tier 1,hours,false,89302316,89305543,90172248209,,,175,false,90,0,0,
Symbotic - Creative; digital; website,canceled,recurring,2024-02-12,,,Creative; digital; website,4375,15,9341454074930384,MID20259683,XXXXXXXXXXX,tactical,invoice,43.75,Tier 4,hours,false,89319925,67296059,90172248207,,,175,false,0,0,0,2025-06-21
Rugged Robotics - Creative; digital; web,inactive,recurring,2024-12-31,,,Rugged Robotics would like to extend their existing Creative; Digital; and Website retainer titled: 'Rugged_Robotics_Ideometry_Retainer_Agreement.pdf' signed on 1/4/24 by Rob Schnitzler.,6125,14,9341454074930384,MID20259572,XXXXXXXXXXX,tactical,invoice,61.25,Tier 2,hours,false,95153711,60810284,90172248206,,,175,false,365,0,-60,2025-12-22
Realtime Robotics - Creative; digital; website,canceled,recurring,2025-01-01,,,The client would like to retain the agency to perform creative; digital; and website services from the period starting January 1; 2025 and ending June 30; 2025. During the retainer period; the agency agrees to devote up to thirty-five (35) hours per month on assignments determined by the client (limited to the list of services below). Work priority and scheduling will be at the discretion of the client. Work will normally occur between the hours of 9 AM to 5 PM ET on weekdays (Monday through Friday). Project estimates are not guaranteed and it is possible that any project/task will take shorter or longer than the estimate provided. Client shall be charged based on the actual number of hours worked rather than the estimate.,6125,13,9341454074930384,MID20252473,XXXXXXXXXXX,tactical,invoice,61.25,Tier 1,hours,false,89302316,89305543,90172248194,,,175,false,180,0,-60,
Realtime Robotics - Brand activation project,inactive,project,2024-12-02,,,The Brand Activation Project is a comprehensive marketing project that includes the development of a revised brand; messaging; and website.,38475,13,9341454074930384,MID20258089,XXXXXXXXXXX,tactical,invoice,0,Tier 4,points,false,89302316,89305543,90172248146,,,,false,,,,
Powerhouse Gym - Creative; digital; website services,active,recurring,2025-05-01,,,Creative services,5075,17,9341454074930384,MID20258726,XXXXXXXXXXX,tactical,invoice,50.75,Tier 4,hours,false,89383198,89288697,90172248189,,,175,false,426,0,-60,2026-01-22
FoxyAI - Creative; digital; web services,active,recurring,2024-06-25,,,Creative services,3500,11,9341454074930384,MID20252051,XXXXXXXXXXX,tactical,invoice,35,Tier 4,hours,false,89312700,89288697,90172248186,,,175,false,0,0,0,2026-01-22
Evolv - Campaign retainer,canceled,recurring,2025-01-01,,,Evolv Technology would like to retain Ideometry to perform ongoing campaign management; optimization; and reporting for paid digital marketing campaigns from the period January 1; 2025; to December 31; 2025. Work priority and scheduling will be at the discretion of Evolv Technology. Work will normally occur between the hours of 9AM to 5PM on weekdays (Monday through Friday).,6250,9,9341454074930384,MID20254465,XXXXXXXXXXX,tactical,invoice,62.5,Tier 1,points,false,89319925,89305543,90172248182,,,,false,120,0,-30,
Evolv - Creative; digital; web services,canceled,recurring,2025-07-07,,,Evolv Technology would like to retain Ideometry to perform crea- tive; digital and website services from the period January 8; 2025; to June 30; 2025. During the retainer period Ideometry agrees to devote up to one hundred (100) hours per month on assignments determined by Evolv Technology (limited to the list of services below). Work priority and scheduling will be at the discretion of Evolv Technology. Work will normally occur between the hours of 9AM to 5PM on weekdays (Monday through Friday).,1650,9,9341454074930384,MID20257404,XXXXXXXXXXX,tactical,invoice,10,Tier 4,hours,false,89312700,89288697,90172248181,,,165,false,177,0,-30,2026-01-01
Cybernetix - Creative; digital; website services,active,recurring,2024-06-07,,,Creative; digital; website services,0,59,9341454074930384,MID20259055,XXXXXXXXXXX,tactical,invoice,25,Tier 4,hours,false,89312700,50351772,90172248173,,,175,false,0,0,0,
Cyberhaven - Campaign management,canceled,recurring,2025-04-01,,,Campaign management services,5250,10,9341454074930384,MID20255007,XXXXXXXXXXX,tactical,invoice,52.5,Tier 1,points,false,89319925,67296059,90172248170,,,175,false,275,0,-15,2025-06-21
Cyberhaven - Field marketing creative; digital; website retainer,inactive,recurring,2025-04-01,,,Field marketing creative; digital; website services,4375,10,9341454074930384,MID20257890,34825436966,tactical,invoice,43.75,Tier 4,hours,false,89391258,89288697,90172318951,,,175,false,275,0,-15,2025-06-21
Cyberhaven - Creative; digital; website retainer,canceled,recurring,2025-04-01,,,Creative; digital; website services,6125,10,9341454074930384,MID20257266,34825436966,tactical,invoice,61.25,Tier 4,hours,false,89391258,89288697,90172248168,,,175,false,275,0,-15,2025-06-21
Bionomous - Brand activation project,inactive,project,2024-10-13,,,The Brand Activation Project is a comprehensive marketing project that includes the development of a revised brand; messaging; and collateral and website.,0,44,9341454074930384,MID20258057,XXXXXXXXXXX,tactical,invoice,0,Tier 4,points,false,89305543,89305543,90172256798,,,,false,,,,
Beamable Network - Website project,inactive,project,2025-04-17,,,Beamable is seeking a full rebuild of the Beamable.Network website to migrate it from its current rigid architecture to a more flexible and user-friendly CMS; such as WordPress. The goal is to empower the marketing team to make updates independently; while modernizing the site's look and ensuring it remains true to Beamable's overall brand.,13750,46,9341454074930384,MID20253346,35872380560,tactical,invoice,0,Tier 4,points,false,50351772,50351772,90172368083,,,,false,,,,
Beamable - Creative; Digital and Website Retainer,canceled,recurring,2025-03-01,,,GTM engineering and digital marketing services,6125,46,9341454074930384,MID20259213,33456565413,tactical,invoice,61.25,Tier 1,hours,false,89292512,89319924,90172263214,,,175,false,90,0,0,
Beamable - Video project,inactive,project,2025-03-03,,,Ideometry will partner with Beamable to develop a series of five (5) custom motion graphic animation videos designed to maintain a cohesive; branded visual identity. These videos will serve as engaging; high-impact assets for use across the website; email marketing; and both organic and paid media campaigns. Each video will be approximately 60 seconds in length; following a structured production process that ensures strategic alignment while maintaining a cohesive narrative and brand aesthetic across the series. The videos will share a consistent design language; visual elements; and motion style to reinforce brand continuity.,0,46,9341454074930384,MID20257238,33899245451,tactical,invoice,0,Tier 4,points,false,50351772,50351772,90172262591,,,,false,,,,
Arpio - Campaign Management,canceled,recurring,2024-12-31,,,Campaign management services,5250,6,9341454074930384,MID20258233,37166646707,tactical,invoice,52.5,Tier 1,points,false,89319925,89305543,90172248166,,,,false,182,0,0,
Arpio - Creative; Digital; and Website retainer,canceled,recurring,2024-12-31,,,Creative services,6125,6,9341454074930384,MID20257199,37166646707,tactical,invoice,61.25,Tier 1,hours,false,89319925,89305543,90172248165,,,175,false,182,0,0,
Wilburn - Content marketing services,active,recurring,2025-01-01,,,Blog posts; website maintenance,1750,307,193514801304854,MID20254457,21822519851,tactical,invoice,17,Tier 4,points,false,89391258,50351772,104329044,,,,true,90,90,-45,2026-02-01
VITAL - Marketing services,active,recurring,2024-06-15,,,Content and creative services,4000,2038,193514801304854,MID20251778,21821017936,tactical,invoice,60,Tier 4,points,false,89391258,50351772,90171578464,,,,true,90,90,-45,2026-02-01
Verisk - Marketing services,active,recurring,2024-11-25,,,Content services,10000,556,123145757279014,MID20252047,21821068677,tactical,invoice,90,Tier 4,points,false,89391258,50351772,90020895691,,,,false,365,0,0,2026-02-01
AJ Nash - Podcast services,active,recurring,2025-01-01,,,Podcast services,1350,881,123145757279014,MID20259835,37164131933,tactical,credit_card,14,Tier 4,points,false,89312700,50351772,90171600009,,,,true,30,30,-45,
ThreatMark - Marketing services,active,recurring,2024-09-23,,,ABM; paid; content; reporting,10000,2072,193514801304854,MID20256506,21821032463,tactical,invoice,100,Tier 4,points,false,89383198,89288697,90171841779,,,,true,90,90,-45,2026-02-01
Thermo Fisher - Content marketing services,canceled,recurring,2021-12-09,,,Podcast production services,1995,635,123145757279014,MID20258897,30232624745,tactical,credit_card,20,Tier 4,points,false,89391258,50351772,90020895716,,,,true,30,30,-30,
Techmode - Marketing services,active,recurring,2024-09-18,,,ABM; content; paid; etc.,5000,2058,193514801304854,MID20255818,22111631187,strategic,invoice,50,Tier 4,points,false,89312700,89288697,90171742902,,,,true,180,180,-45,2026-02-01
Syncro - Content marketing services,active,recurring,2024-07-03,,,Podcast services; guest booking; and additional content,3500,874,123145757279014,MID20254194,22692270154,tactical,credit_card,35,Tier 4,points,false,89391258,50351772,90171284325,,,,true,90,90,-45,
Sedra Solutions - Marketing services,active,recurring,2025-01-01,,,Content marketing; paid campaigns; etc,5000,2081,193514801304854,MID20255565,28455714896,strategic,invoice,75,Tier 3,points,false,89281182,50351772,90171904143,,,,true,270,90,-45,2026-02-01
Rod Miller - Content marketing services,active,recurring,2025-01-01,,,Content creation,2000,390,193514801304854,MID20258517,21821049375,tactical,invoice,20,Tier 4,points,false,89391258,50351772,115257172,,,,true,90,90,-45,2026-02-01
Ricoh - Marketing services,active,recurring,2025-10-01,,,Marketing services such as content creation; creative services; etc.,9500,1689,193514801304854,MID20259631,34562006594,tactical,invoice,95,Tier 2,points,false,89383198,89288697,90172318974,,,,false,182,0,0,2026-02-01
Numeric - Podcast services,active,recurring,2024-11-25,,,Podcast services; including editing; writing; images; etc,3500,2093,193514801304854,MID20256737,28632228664,tactical,invoice,45,Tier 4,points,false,89281182,50351772,90171999273,,,,true,90,90,-45,2026-02-01
Noetic - Marketing services,canceled,recurring,2025-01-22,,,ABM; paid; content; performance reporting,8000,2101,193514801304854,MID20252371,29418410521,strategic,invoice,80,Tier 4,points,false,89230992,89288697,90172053425,,,,true,343,90,-45,2026-01-01
NEACH - Content marketing services,active,recurring,2023-11-15,,,Podcast content services,5500,742,123145757279014,MID20259295,21821012483,tactical,credit_card,55,Tier 4,points,false,89391258,50351772,90101547984,,,,true,90,90,-45,
Kolbe - Marketing services,canceled,recurring,2024-01-08,,,Content; paid; ABM,6000,640,123145757279014,MID20255562,21820876971,tactical,credit_card,80,Tier 4,points,false,89230992,89288697,90020895720,,,,true,90,90,-45,2025-07-18
Inside Tracker - Podcast services,active,recurring,2024-08-22,,,Podcast content services,2500,653,123145757279014,MID20256650,21821068676,tactical,credit_card,35,Tier 4,points,false,89391258,50351772,90020895704,,,,true,90,90,45,
Hydrian - Marketing services,active,recurring,2024-05-01,,,ABM; paid; content; website maintenance,4000,1626,193514801304854,MID20255922,21821049386,strategic,invoice,75,Tier 3,points,false,89281182,50351772,115272781,,,,true,30,30,-45,2026-02-01
COFACE - Marketing services,inactive,recurring,2024-08-15,,,ABM; paid; content,10000,2055,193514801304854,MID20253851,21821017934,strategic,invoice,100,Tier 4,points,false,89230992,67296059,90171413264,,,,false,90,90,-45,2025-06-01
Agrippon - Aligned Growth Engine,inactive,project,2025-05-02,,,AGE project,8000,2144,193514801304854,MID20254922,36609562719,strategic,invoice,0,Tier 1,points,false,60810284,60810281,90172414537,,,,false,,,,
WeFixFreight - Marketing services,active,recurring,2023-06-18,,,ABM; paid; content; website maintenance,5000,1901,193514801304854,MID20256524,36153542941,strategic,invoice,50,Tier 4,points,false,89383198,50351772,90020711102,,,,true,210,90,-45,2026-02-01
BioSafe - Marketing services,active,recurring,2023-08-11,,,ABM; paid; content; website maintenance,10300,1768,193514801304854,MID20259985,21821145128,tactical,credit_card,100,Tier 4,points,false,89281182,50351772,115336658,,,,true,90,90,-45,2026-02-01
Bazaarvoice - Content marketing services,active,recurring,2024-01-12,,,Video content; marketing services,2500,678,123145757279014,MID20259914,21821104272,tactical,invoice,25,Tier 4,points,false,89391258,50351772,90020895722,,,,true,90,90,-45,2026-02-01
Shockoe - Marketing Services,canceled,recurring,2024-12-01,,,Marketing services such as paid; content; ABM,7000,2074,193514801304854,MID20257538,22571803409,strategic,invoice,100,Tier 4,points,false,89383198,89288697,90171847471,,,,true,180,90,-45,2026-01-01
Tyfone - Content marketing services,active,recurring,2024-07-18,,,Content marketing; podcast editing; writing; video production,4500,555,123145757279014,MID20258836,21820876973,tactical,credit_card,45,Tier 4,points,false,89391258,50351772,90171663025,,,,true,90,90,-45,
PTO Exchange - Marketing Services,active,recurring,2025-04-17,,,ABM; paid; content,5500,2141,193514801304854,MID20252944,34825468296,strategic,invoice,80,Tier 1,points,false,89230992,89288697,90172270333,,,,true,180,90,-45,2026-02-01
Planon - Marketing Services,active,recurring,2025-04-11,,,ABM; paid services and content,6000,2126,193514801304854,MID20253611,34825468052,strategic,invoice,60,Tier 1,points,false,89281182,50351772,90172263723,,,,true,270,90,-45,2026-02-01
Global Shared Services - Marketing Services,active,recurring,2025-01-01,,,Marketing services,9000,2103,193514801304854,MID20259442,29370305802,tactical,invoice,110,Tier 4,points,false,95153711,50351772,90172066317,,,,true,90,90,-45,2025-06-01
Finley - Marketing Services,inactive,recurring,2024-09-03,,,Services,6500,2065,193514801304854,MID20256900,21955977240,tactical,invoice,65,Tier 4,points,false,89288697,89288697,90171792489,,,,true,90,90,-45,2025-06-01
Avanti Systems - Marketing Services,inactive,recurring,2025-04-01,,,Stuff,9500,1674,193514801304854,MID20258212,33448290109,strategic,invoice,95,Tier 4,points,false,89321438,60810284,90172318908,,,,false,180,0,0,2025-06-01
iCorps - Marketing Services,active,recurring,2024-02-01,,,Marketing services such as ABM; content; and website maintenance,6500,1977,193514801304854,MID20240005,21821104273,strategic,invoice,65,Tier 4,points,false,89230992,89288697,90171012399,,,,true,90,90,-45,2026-02-01
AutoBytes - Aligned Growth Engine,inactive,project,2024-12-10,,,Some interesting stuff here,8000,2102,193514801304854,MID20252025,29903675830,strategic,credit_card,,,points,false,,,,,,,,,,,
Ease - Podcast Services,active,recurring,2025-03-13,,,Podcast production services,2500,889,123145757279014,MID20250002,33118027558,tactical,invoice,45,Tier 4,points,false,89312700,50351772,90172275914,,,,true,90,90,-45,2026-02-01
AutoBytes - Marketing Services,inactive,recurring,2025-10-01,,,Some interesting stuff here,10000,2102,193514801304854,MID20250001,30791559246,strategic,credit_card,100,Tier 4,points,false,89230992,89288697,90172035825,,,,true,30,0,0,2025-06-01